state,year,dissolved_oxygen,bod,fecal_coliform,source_file
Bihar,2019,7.4,,7900.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.2,,3300.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.5,,3600.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.6,,11000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,6.7,,3300.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.0,,5950.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.6,,4900.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.5,,3600.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.8,,5950.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.1,,3100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.0,,12500.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.5,,7000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.5,,7000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.2,,12000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.8,,7000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.0,,5900.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.3,,6100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.3,,3950.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.2,,4500.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.1,,7000.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,8.0,,6100.0,RS_Session_255_AU_90.1 (1).csv
Bihar,2019,7.4,,11000.0,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2019,8.2,,,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2019,8.2,,,RS_Session_255_AU_90.1 (1).csv
Jharkhand,2019,8.4,,,RS_Session_255_AU_90.1 (1).csv
